codigo;caged_estoque;caged_admissoes;caged_deslig;caged_saldo;caged_var
1100015;2385;1384;1313;71;3.0683
1100023;19792;13117;12809;308;1.5808
1100031;478;166;179;-13;-2.6477
1100049;18462;11841;11951;-110;-0.5923
1100056;2430;1458;1459;-1;-0.0411
1100064;2074;891;853;38;1.8664
1100072;1589;965;1061;-96;-5.6973
1100080;560;357;328;29;5.4614
1100098;4837;2897;2907;-10;-0.2063
1100106;5034;2233;1972;261;5.4683
1100114;11291;6239;5929;310;2.8231
1100122;31136;20092;19297;795;2.6202
1100130;3019;1826;1783;43;1.4449
1100148;1812;1279;1165;114;6.7138
1100155;5068;2753;2776;-23;-0.4518
1100189;10233;5535;5309;226;2.2584
1100205;103340;55326;53847;1479;1.452
1100254;2867;1738;1722;16;0.5612
1100262;596;333;370;-37;-5.8452
1100288;13408;7993;8349;-356;-2.5865
1100296;740;308;320;-12;-1.5957
1100304;28199;17030;16620;410;1.4754
1100320;3487;2317;1950;367;11.7628
1100338;1509;883;814;69;4.7917
1100346;845;485;428;57;7.2335
1100379;852;479;448;31;3.7759
1100403;1233;632;563;69;5.9278
1100452;3068;1869;1772;97;3.2649
1100502;698;497;393;104;17.5084
1100601;298;123;138;-15;-4.7923
1100700;477;257;284;-27;-5.3571
1100809;2247;1772;1477;295;15.1127
1100908;255;115;101;14;5.8091
1100924;2674;1856;2038;-182;-6.3725
1100940;1136;595;685;-90;-7.3409
1101005;578;250;247;3;0.5217
1101104;1327;829;867;-38;-2.7839
1101203;1004;647;541;106;11.804
1101302;929;375;391;-16;-1.6931
1101401;785;298;342;-44;-5.3076
1101435;548;240;190;50;10.0402
1101450;545;270;273;-3;-0.5474
1101468;338;169;232;-63;-15.7107
1101476;334;200;134;66;24.6269
1101484;360;182;170;12;3.4483
1101492;1549;999;902;97;6.6804
1101500;857;540;504;36;4.3849
1101559;267;120;118;2;0.7547
1101609;406;192;206;-14;-3.3333
1101708;1169;559;569;-10;-0.8482
1101757;454;339;358;-19;-4.0169
1101807;444;258;284;-26;-5.5319
1200013;1157;627;583;44;3.9533
1200054;215;112;80;32;17.4863
1200104;3360;2403;1780;623;22.7621
1200138;2114;1645;1442;203;10.6227
1200179;378;244;320;-76;-16.7401
1200203;9449;4202;3981;221;2.3949
1200252;3025;1218;1122;96;3.2776
1200302;1605;634;594;40;2.5559
1200328;741;124;74;50;7.2359
1200336;443;253;220;33;8.0488
1200344;718;291;281;10;1.4124
1200351;95;24;21;3;3.2609
1200385;1796;881;1305;-424;-19.0991
1200393;62;17;15;2;3.3333
1200401;76162;40129;37001;3128;4.2829
1200427;245;83;77;6;2.5105
1200435;222;8;10;-2;-0.8929
1200450;2955;1575;1355;220;8.0439
1200500;4839;2516;1795;721;17.5085
