codigo;res_cob_total;res_cob_rural;res_seletiva;res_disp_inad;res_massa_pc;agua_cob;perdas;consumo;emp_agua;esgoto_cob;esgoto_trat;emp_esgoto
2410900;;;;;;74.64;47.07;100.79;Companhia de Águas e Esgotos do Rio Grande do Norte;56.69;;Companhia de Águas e Esgotos do Rio Grande do Norte
4202438;100.0;100.0;70.01;0.0;0.32;36.65;29.31;141.81;Companhia Catarinense de Águas e Saneamento;;;
4316204;41.22;0.0;0.0;0.0;0.32;41.57;44.72;205.68;Companhia Riograndense de Saneamento;24.59;;Prefeitura Municipal de Rondinha
3118205;89.77;0.0;0.0;0.0;0.94;77.88;23.55;199.0;Companhia de Saneamento de Minas Gerais;69.59;76.22;Companhia de Saneamento de Minas Gerais
3110806;;;;;;85.74;38.84;162.69;Companhia de Saneamento de Minas Gerais;;;
5219357;100.0;100.0;0.0;100.0;0.88;40.86;21.22;267.56;Saneamento de Goiás S/A;;;
4210605;100.0;100.0;55.18;0.0;0.59;33.53;22.16;170.88;Prefeitura Municipal de Massaranduba;;;
5210802;100.0;100.0;0.0;100.0;0.56;76.89;28.33;208.87;Saneamento de Goiás S/A;;;
3543402;100.0;100.0;100.0;95.32;0.96;99.65;36.82;321.17;Prefeitura Municipal de Ribeirão Preto;98.97;94.96;Prefeitura Municipal de Ribeirão Preto
4120408;100.0;100.0;0.0;0.0;0.5;;;;;;;
4104055;61.63;0.0;61.63;0.0;0.32;62.33;16.95;141.78;Companhia de Saneamento do Paraná S.A.;;;
2905909;18.53;0.0;0.0;100.0;0.3;41.42;26.18;111.18;Empresa Baiana de Águas e Saneamento S.A.;;;
3167509;100.0;100.0;0.0;0.0;1.09;61.99;3.85;112.29;Prefeitura Municipal de Simão Pereira;61.99;0.0;Prefeitura Municipal de Simão Pereira
2206001;82.51;18.05;0.0;100.0;0.46;;;;;;;
4128708;68.09;0.0;0.0;0.0;0.48;78.63;25.65;157.81;Companhia de Saneamento do Paraná S.A.;32.74;28.98;Companhia de Saneamento do Paraná S.A.
3518859;83.46;0.0;0.0;100.0;1.24;78.46;19.92;624.68;Prefeitura Municipal de Guatapará;88.5;89.75;Prefeitura Municipal de Guatapará
2500304;;;;;;51.73;35.45;178.38;Companhia de Águas e Esgotos da Paraíba;61.09;;Companhia de Águas e Esgotos da Paraíba
2402709;;;;;;54.04;32.11;148.17;Companhia de Águas e Esgotos do Rio Grande do Norte;31.32;;Companhia de Águas e Esgotos do Rio Grande do Norte
2508604;;;;;;45.81;82.23;170.52;Companhia de Águas e Esgotos da Paraíba;;;
2100402;100.0;100.0;0.0;100.0;2.41;8.12;87.35;109.18;Companhia de Saneamento Ambiental do Maranhão;;;
2709152;97.17;81.81;0.0;0.0;1.1;84.45;96.9;10.44;Serviço Autônomo de Água e Esgoto do Município de Teotônio Vilela;54.36;;Serviço Autônomo de Água e Esgoto do Município de Teotônio Vilela
