N;Nome da Variável;Descrição da Variável;Tipo;Tam.(1);Categoria;"Coleta por ano (""s""=sim;""n""=não ) ";;;;;;;;;;;;;;;;;;;Notas Importantes
;;;;;;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;
;;;;;;;;;;;;;;;;;;;;;;;;;
1;NU_ANO_CENSO;Ano do Censo;Num;4;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
2;NO_REGIAO;Nome da Região Geográfica;Char;20;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
3;CO_REGIAO;Código da Região Geográfica;Num;1;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
4;NO_UF;Nome da Unidade da Federação;Char;50;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
5;SG_UF;Sigla da Unidade da Federação;Char;2;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
6;CO_UF;Código da Unidade da Federação;Num;2;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
7;NO_MUNICIPIO;Nome do Município;Char;150;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
8;CO_MUNICIPIO;Código do Município;Num;7;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
9;NO_REGIAO_GEOG_INTERM;Nome da Região Geográfica Intermediária;Char;100;;n;n;n;n;n;n;n;n;n;n;n;n;s;s;s;s;s;s;s;A Fundação Instituto Brasileiro de Geografia e Estatísticas (IBGE), propôs em 2017 uma nova divisão geográfica regional do Brasil que corresponde às antigas Mesorregiões e Microrregiões. Assim, a partir de 2019, as regiões geográficas regionais são classificadas em Regiões Geográficas Intermediárias e Regiões Imediatas. No Censo Escolar, para fins de comparação ao longo dos anos, foram mantidas as variáveis de Mesorregiões e Microrregiões.
10;CO_REGIAO_GEOG_INTERM;Código da Região Geográfica Intermediária;Num;4;;n;n;n;n;n;n;n;n;n;n;n;n;s;s;s;s;s;s;s;
11;NO_REGIAO_GEOG_IMED;Nome da Região Geográfica Imediata;Char;100;;n;n;n;n;n;n;n;n;n;n;n;n;s;s;s;s;s;s;s;
12;CO_REGIAO_GEOG_IMED;Código da Região Geográfica Imediata;Num;6;;n;n;n;n;n;n;n;n;n;n;n;n;s;s;s;s;s;s;s;
13;NO_DISTRITO;Divisão Intramunicipal - Nome do Distrito;Char;100;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
14;CO_DISTRITO;Divisão Intramunicipal - Código do Distrito;Num;9;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
15;NO_SUBDISTRITO;Divisão Intramunicipal - Nome do Subdistrito;Char;100;;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;"A partir do Censo Escolar de 2025, a coleta de informações passou a contemplar dados geográficos desagregados pelo Código das Regiões Administrativas exclusivamente para o Distrito Federal. Em decorrência dessa alteração, nos Microdados, o nome e o código das Regiões Administrativas do Distrito Federal passaram a ser incorporados às variáveis de Código e Nome do Distrito.
Assim, nesta versão dos Microdados, as variáveis NO_REGIAO_ADMINISTRATIVA e CO_REGIAO_ADMINISTRATIVA foram, respectivamente, integradas às variáveis NO_DISTRITO e CO_DISTRITO."
16;CO_SUBDISTRITO;Divisão Intramunicipal - Código do Subdistrito;Num;9;;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
17;NO_ENTIDADE;Nome da Escola;Char;100;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
18;CO_ENTIDADE;Código da Escola;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
19;CO_REDE;Rede de Ensino;Num;1;"1 - Pública
2 - Privada";s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
20;TP_DEPENDENCIA;Dependência Administrativa;Num;1;"1 - Federal
2 - Estadual
3 - Municipal
4 - Privada";s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
21;TP_CATEGORIA_ESCOLA_PRIVADA;Categoria da escola privada;Num;1;"1 - Particular
2 - Comunitária
3 - Confessional
4 - Filantrópica
   - Não aplicável para escolas públicas";s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
22;TP_LOCALIZACAO;Localização;Num;1;"1 - Urbana
2 - Rural";s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
